state,year,property_tax,sales_tax,income_tax_total,individual_income_tax,corporate_income_tax,total_tax
Alabama,2025,653667.0,8363411,7923704.0,5799729.0,2123975.0,16940782.0
Alaska,2025,133795.0,335544,365420.0,0.0,365420.0,834759.0
Arizona,2025,1431360.0,17229729,7240909.0,5490362.0,1750547.0,25901998.0
Arkansas,2025,1622378.0,6910963,3380189.0,2735758.0,644431.0,11913530.0
California,2025,3684685.0,75416611,168110119.0,128687029.0,39423090.0,247211415.0
Colorado,2025,0.0,8244700,11169641.0,8815538.0,2354103.0,19414341.0
Connecticut,2025,0.0,9222486,14720693.0,11219590.0,3501103.0,23943179.0
Delaware,2025,0.0,673324,3331906.0,2754586.0,577320.0,4005230.0
Florida,2025,0.0,51013978,5821190.0,0.0,5821190.0,56835168.0
Georgia,2025,882217.0,13134644,19492485.0,16236377.0,3256108.0,33509346.0
Hawaii,2025,0.0,6470244,3698180.0,3287587.0,410593.0,10168424.0
Idaho,2025,0.0,4196827,4109339.0,3102225.0,1007114.0,8306166.0
Illinois,2025,64406.0,28776062,37829784.0,25413800.0,12415984.0,66670252.0
Indiana,2025,17133.0,16612178,9581175.0,8687238.0,893937.0,26210486.0
Iowa,2025,881.0,6354609,4588089.0,3810679.0,777410.0,10943579.0
Kansas,2025,932487.0,5650380,6038280.0,4675736.0,1362544.0,12621147.0
Kentucky,2025,839308.0,8582445,7153682.0,4809075.0,2344607.0,16575435.0
Louisiana,2025,194330.0,9352828,5637883.0,4755942.0,881941.0,15185041.0
Maine,2025,48978.0,3257518,3139529.0,2729411.0,410118.0,6446025.0
Maryland,2025,1051620.0,13308724,16590418.0,11704521.0,4885897.0,30950762.0
Massachusetts,2025,17846.0,12691895,30843337.0,24484941.0,6358396.0,43553078.0
Michigan,2025,3150368.0,19180862,15582813.0,12519952.0,3062861.0,37914043.0
Minnesota,2025,746785.0,13744622,19887344.0,13957697.0,5929647.0,34378751.0
Mississippi,2025,30151.0,7404338,2875471.0,2371353.0,504118.0,10309960.0
Missouri,2025,47546.0,7796452,9368790.0,7783245.0,1585545.0,17212788.0
Montana,2025,459133.0,930226,2628315.0,2306589.0,321726.0,4017674.0
Nebraska,2025,124.0,3808228,3255019.0,2179934.0,1075085.0,7063371.0
Nevada,2025,2001867.0,10734472,0.0,0.0,0.0,12736339.0
New Hampshire,2025,413650.0,1049883,1202177.0,91186.0,1110991.0,2665710.0
New Jersey,2025,4902.0,20365736,29444600.0,21007331.0,8437269.0,49815238.0
New Mexico,2025,125895.0,6172895,3300387.0,2518358.0,782029.0,9599177.0
New York,2025,0.0,35426894,87991791.0,61201732.0,26790059.0,123418685.0
North Carolina,2025,0.0,18949381,18665675.0,17090797.0,1574878.0,37615056.0
North Dakota,2025,5979.0,1928554,761690.0,425441.0,336249.0,2696223.0
Ohio,2025,0.0,25627992,10980087.0,10979911.0,176.0,36608079.0
Oklahoma,2025,0.0,5428981,5526994.0,4887199.0,639795.0,10955975.0
Oregon,2025,21570.0,4016711,14580614.0,13072992.0,1507622.0,18618895.0
Pennsylvania,2025,44834.0,28320440,22311642.0,17868796.0,4442846.0,50676916.0
Rhode Island,2025,5090.0,2867761,2359690.0,1828456.0,531234.0,5232541.0
South Carolina,2025,108728.0,9922647,8191340.0,6753932.0,1437408.0,18222715.0
