State,State Tax Rate,State Tax Rank,Avg. Local Tax Rate,Max Local,Combined Tax Rate,Combined Rank
Alabama,0.04,40,0.054392518,0.11,0.094392518,5
Alaska,0,46,0.01821061,0.0785,0.01821061,46
Arizona,0.056,28,0.029237181,0.053,0.085237181,11
Arkansas,0.065,9,0.029760971,0.06125,0.094760971,3
California,0.0725,1,0.017308612,0.0525,0.089808612,7
Colorado,0.029,45,0.049566535,0.083,0.078566535,16
Connecticut,0.0635,12,0,0,0.0635,33
Delaware,0,46,0,0,0,47
Florida,0.06,17,0.010172167,0.02,0.070172167,24
Georgia,0.04,40,0.034352709,0.05,0.074352709,19
Hawaii,0.04,40,0.005,0.005,0.045,45
Idaho,0.06,17,0.000266051,0.03,0.060266051,37
Illinois,0.0625,13,0.026730797,0.0475,0.089230797,8
Indiana,0.07,2,0,0,0.07,25
Iowa,0.06,17,0.009426906,0.02,0.069426906,29
Kansas,0.065,9,0.022772919,0.0425,0.087772919,9
Kentucky,0.06,17,0,0,0.06,38
Louisiana,0.05,32,0.051133655,0.07,0.101133655,1
Maine,0.055,29,0,0,0.055,44
Maryland,0.06,17,0,0,0.06,38
Massachusetts,0.0625,13,0,0,0.0625,35
Michigan,0.06,17,0,0,0.06,38
Minnesota,0.06875,6,0.012592733,0.03,0.081342733,15
Mississippi,0.07,2,0.000617844,0.01,0.070617844,23
Missouri,0.04225,38,0.041894289,0.05875,0.084144289,12
Montana,0,46,0,0,0,47
Nebraska,0.055,29,0.014812863,0.02,0.069812863,28
Nevada,0.0685,7,0.013855229,0.01525,0.082355229,13
New Hampshire,0,46,0,0,0,47
New Jersey,0.06625,8,-0.000236276,0.033125,0.066013724,30
New Mexico,0.04875,35,0.027919693,0.045625,0.076669693,17
New York,0.04,40,0.045416003,0.04875,0.085416003,10
North Carolina,0.0475,36,0.022461029,0.0275,0.069961029,27
North Dakota,0.05,32,0.020812004,0.035,0.070812004,22
Ohio,0.0575,27,0.015457207,0.0225,0.072957207,21
Oklahoma,0.045,37,0.045532626,0.07,0.090532626,6
Oregon,0,46,0,0,0,47
Pennsylvania,0.06,17,0.003407535,0.02,0.063407535,34
Rhode Island,0.07,2,0,0,0.07,25
South Carolina,0.06,17,0.014862708,0.03,0.074862708,18
South Dakota,0.042,39,0.019137964,0.045,0.061137964,36
Tennessee,0.07,2,0.026097171,0.0275,0.096097171,2
Texas,0.0625,13,0.019507337,0.02,0.082007337,14
Utah,0.061,16,0.013168895,0.047,0.074168895,20
Vermont,0.06,17,0.003897874,0.01,0.063897874,32
Virginia,0.053,31,0.004714794,0.027,0.057714794,41
Washington,0.065,9,0.02974256,0.041,0.09474256,4
West Virginia,0.06,17,0.005779842,0.01,0.065779842,31
Wisconsin,0.05,32,0.007200209,0.029,0.057200209,42
Wyoming,0.04,40,0.015598357,0.03,0.055598357,43
