State,Year,Quarter,Property_Tax,Sales_Tax,Individual_Income_Tax,Corporate_Income_Tax,Total_Tax
Alabama,2015,Q1,172259,587045,808020,102226,1669550
Alaska,2015,Q1,22,0,0,-38989,-38967
Arizona,2015,Q1,220661,1547895,605407,96624,2470587
Arkansas,2015,Q1,79912,797183,497294,107234,1481623
California,2015,Q1,592158,9576402,17731008,1835098,29734666
Colorado,2015,Q1,0,715935,1350349,96889,2163173
Connecticut,2015,Q1,0,1009674,1930546,210769,3150989
Delaware,2015,Q1,0,0,380825,42530,423355
Florida,2015,Q1,20,5528697,0,457320,5986037
Georgia,2015,Q1,214359,1323617,1896330,256495,3690801
Hawaii,2015,Q1,0,782302,464140,12846,1259288
Idaho,2015,Q1,0,352203,291470,38268,681941
Illinois,2015,Q1,10577,2068630,3982255,1055932,7117394
Indiana,2015,Q1,1051,1764407,1608200,124491,3498149
Iowa,2015,Q1,721,715431,739163,89242,1544557
Kansas,2015,Q1,390566,751692,460751,71936,1674945
Kentucky,2015,Q1,134292,785933,840242,128807,1889274
Louisiana,2015,Q1,13172,780193,577516,-54925,1315956
Maine,2015,Q1,8600,280057,279030,26234,593921
Maryland,2015,Q1,2123,1069162,2066783,239179,3377247
Massachusetts,2015,Q1,49,1387502,3448407,713637,5549595
Michigan,2015,Q1,74095,1998636,1829138,253367,4155236
Minnesota,2015,Q1,6327,1298449,2210905,370669,3886350
Mississippi,2015,Q1,20109,832059,338250,210630,1401048
Missouri,2015,Q1,21261,830191,1232387,32570,2116409
Montana,2015,Q1,54354,0,225424,20208,299986
Nebraska,2015,Q1,29,449612,472766,83336,1005743
Nevada,2015,Q1,65284,1024574,0,0,1089858
New Hampshire,2015,Q1,367391,0,17742,134454,519587
New Jersey,2015,Q1,0,2119325,3188278,467451,5775054
New Mexico,2015,Q1,46307,567818,229888,64157,908170
New York,2015,Q1,0,3146091,13535656,2053024,18734772
North Carolina,2015,Q1,0,1706959,2629758,208442,4545159
North Dakota,2015,Q1,2610,396756,142406,33599,575371
Ohio,2015,Q1,0,2836701,1888305,25972,4750978
Oklahoma,2015,Q1,0,657485,638348,135279,1431112
Oregon,2015,Q1,4898,0,1517597,105597,1628092
Pennsylvania,2015,Q1,1294,2250834,2605585,545558,5403271
Rhode Island,2015,Q1,1044,220536,214236,76191,512007
South Carolina,2015,Q1,3653,672958,386826,100223,1163660
South Dakota,2015,Q1,0,222993,0,-14409,208584
Tennessee,2015,Q1,0,1916938,20801,368617,2306356
Texas,2015,Q1,0,7462435,0,0,7462435
Utah,2015,Q1,0,463220,579447,56712,1099379
Vermont,2015,Q1,2853,95665,124157,31054,253729
Virginia,2015,Q1,-3006,898746,2408358,142713,3446811
Washington,2015,Q1,902874,3091697,0,0,3994571
West Virginia,2015,Q1,1158,322565,398817,35470,758010
Wisconsin,2015,Q1,60921,1141053,1513577,268152,2983703
Wyoming,2015,Q1,33191,200031,0,0,233222
Alabama,2015,Q2,10155,636707,957687,136961,1741510
Alaska,2015,Q2,125210,0,0,76722,201932
Arizona,2015,Q2,220661,1554426,1174131,288849,3238067
Arkansas,2015,Q2,352551,780164,814238,154021,2100974
California,2015,Q2,584810,10329916,28710858,4692053,44317636
Colorado,2015,Q2,0,701184,2097232,261772,3060188
Connecticut,2015,Q2,0,1409032,3543496,306427,5258955
Delaware,2015,Q2,0,0,462537,243126,705663
Florida,2015,Q2,0,5588698,0,798000,6386698
Georgia,2015,Q2,232204,1360659,2679489,329320,4601672
Hawaii,2015,Q2,0,773665,570802,12938,1357405
Idaho,2015,Q2,0,371477,509961,83641,965079
Illinois,2015,Q2,16798,2279993,4527933,1425459,8250183
Indiana,2015,Q2,2013,1836202,2368074,521771,4728060
Iowa,2015,Q2,361,1004087,1211409,201709,2417566
Kansas,2015,Q2,240000,751618,825038,172003,1988659
Kentucky,2015,Q2,58713,854490,1253374,331220,2497797
Louisiana,2015,Q2,13172,774217,805371,191580,1784340
Maine,2015,Q2,564,423270,563794,64946,1052574
Maryland,2015,Q2,1937,1529612,2965129,386628,4883306
Massachusetts,2015,Q2,18,1525754,4694430,731728,6951930
Michigan,2015,Q2,58040,1858383,2060295,387259,4363977
Minnesota,2015,Q2,446101,1618653,3469936,419776,5954466
Mississippi,2015,Q2,3,949758,574919,135849,1660529
Missouri,2015,Q2,1508,859129,1927081,189236,2976954
Montana,2015,Q2,103788,0,418373,60978,583139
Nebraska,2015,Q2,37,444116,754080,94520,1292753
Nevada,2015,Q2,92962,1724793,0,0,1817755
New Hampshire,2015,Q2,16674,0,55546,200221,272441
New Jersey,2015,Q2,0,3394267,5061939,977779,9433985
New Mexico,2015,Q2,29026,539232,380056,73227,1021541
New York,2015,Q2,0,3413497,13844048,1072058,18329604
North Carolina,2015,Q2,0,1718912,3594009,583929,5896850
North Dakota,2015,Q2,786,361913,189929,79776,632404
Ohio,2015,Q2,0,3082501,2672463,2304,5757268
Oklahoma,2015,Q2,0,650751,1012262,148382,1811395
Oregon,2015,Q2,3661,0,2386505,219860,2610026
Pennsylvania,2015,Q2,36941,2590035,3820050,796697,7243723
Rhode Island,2015,Q2,1436,245643,397314,71424,715817
South Carolina,2015,Q2,324,1020553,1046179,192530,2259586
South Dakota,2015,Q2,0,225078,0,7822,232900
Tennessee,2015,Q2,0,1999080,267298,600169,2866547
Texas,2015,Q2,0,11802852,0,0,11802852
Utah,2015,Q2,0,465634,1143691,168450,1777775
Vermont,2015,Q2,944700,86832,258386,25436,1315354
Virginia,2015,Q2,35710,1176037,3602646,317543,5131936
Washington,2015,Q2,202380,3153980,0,0,3356360
West Virginia,2015,Q2,1541,327767,663197,39127,1031632
Wisconsin,2015,Q2,61725,1685669,2333293,338688,4419375
Wyoming,2015,Q2,119880,171414,0,0,291294
Alabama,2015,Q3,12488,630045,813839,127120,1583492
Alaska,2015,Q3,2502,0,0,58162,60664
Arizona,2015,Q3,220661,1511013,1025354,123367,2880395
Arkansas,2015,Q3,128019,861508,661435,110166,1761128
California,2015,Q3,648773,8961039,15587754,1286798,26484364
Colorado,2015,Q3,0,749984,1506551,162324,2418859
Connecticut,2015,Q3,0,655277,1073519,97654,1826450
Delaware,2015,Q3,0,0,323359,60616,383975
Florida,2015,Q3,0,5335191,0,462230,5797421
Georgia,2015,Q3,234214,1353580,2645134,228897,4461825
Hawaii,2015,Q3,0,831149,519990,55856,1406995
Idaho,2015,Q3,0,410977,334670,46615,792262
Illinois,2015,Q3,16966,2315811,3059415,674725,6066917
Indiana,2015,Q3,1756,1843085,1732900,236464,3814205
Iowa,2015,Q3,490,561943,653003,65918,1281354
Kansas,2015,Q3,18482,832113,526271,102147,1479013
Kentucky,2015,Q3,46849,859750,1039892,169555,2116046
Louisiana,2015,Q3,13206,751417,777845,-70814,1471654
Maine,2015,Q3,25744,393298,386246,24272,829560
Maryland,2015,Q3,548263,756570,1572163,244151,3121147
Massachusetts,2015,Q3,11,1565410,3323708,458288,5347417
Michigan,2015,Q3,637895,3103380,3006252,340916,7088443
Minnesota,2015,Q3,14939,1224353,2475868,331353,4046513
Mississippi,2015,Q3,171,736004,423537,101519,1261231
Missouri,2015,Q3,463,888687,1391040,124205,2404395
Montana,2015,Q3,17379,0,282649,36514,336542
Nebraska,2015,Q3,52,457874,538327,79386,1075639
Nevada,2015,Q3,15246,347828,0,0,363074
New Hampshire,2015,Q3,9129,0,16912,132239,158280
New Jersey,2015,Q3,0,1530556,2277444,455415,4263415
New Mexico,2015,Q3,2190,497159,371810,21140,892299
New York,2015,Q3,0,3496749,10389531,1143354,15029634
North Carolina,2015,Q3,0,1874189,2708428,292021,4874638
North Dakota,2015,Q3,18,378901,97104,20557,496580
Ohio,2015,Q3,0,3043186,2172671,2365,5218222
Oklahoma,2015,Q3,0,631258,784362,130002,1545622
Oregon,2015,Q3,5670,0,1875491,198245,2079406
Pennsylvania,2015,Q3,4182,2605203,2716284,474439,5800108
Rhode Island,2015,Q3,29,267836,305155,29936,602956
South Carolina,2015,Q3,13350,735509,1179702,97585,2026146
South Dakota,2015,Q3,0,268928,0,7658,276586
Tennessee,2015,Q3,0,2051657,6520,349619,2407796
Texas,2015,Q3,0,7348837,0,0,7348837
Utah,2015,Q3,0,629325,700257,94095,1423677
Vermont,2015,Q3,676,95838,172468,25904,294886
Virginia,2015,Q3,168,853867,3005620,182864,4042519
Washington,2015,Q3,803926,3479367,0,0,4283293
West Virginia,2015,Q3,2762,311441,440864,46950,802017
Wisconsin,2015,Q3,668,862696,1583592,220712,2667668
Wyoming,2015,Q3,13746,267302,0,0,281048
Alabama,2015,Q4,149860,641159,828204,92344,1711567
Alaska,2015,Q4,100,0,0,-33549,-33449
Arizona,2015,Q4,220661,1521310,1063342,133768,2939081
Arkansas,2015,Q4,546574,817594,643283,81094,2088545
California,2015,Q4,586969,10111244,18686944,1981084,31366240
Colorado,2015,Q4,0,699751,1490437,140686,2330874
Connecticut,2015,Q4,0,1059444,1783592,92347,2935383
Delaware,2015,Q4,0,0,336062,89613,425675
Florida,2015,Q4,0,5377678,0,465700,5843378
Georgia,2015,Q4,227961,1304217,2784717,194813,4511708
Hawaii,2015,Q4,0,754374,498438,11970,1264782
Idaho,2015,Q4,0,380517,376691,40620,797828
Illinois,2015,Q4,17093,2928726,3048487,625819,6620125
Indiana,2015,Q4,1872,1796335,1775318,211835,3785360
Iowa,2015,Q4,0,808541,948929,39082,1796552
Kansas,2015,Q4,5933,811916,523744,95846,1437439
Kentucky,2015,Q4,333488,867951,1029563,137573,2368575
Louisiana,2015,Q4,13172,746615,761767,-45024,1476530
Maine,2015,Q4,2340,333283,410240,18751,764614
Maryland,2015,Q4,201834,1111436,1918271,206628,3438169
Massachusetts,2015,Q4,2,1500177,3273462,382657,5156298
Michigan,2015,Q4,1225107,2127286,2206367,159039,5717799
Minnesota,2015,Q4,374395,1374740,2489756,350706,4589597
Mississippi,2015,Q4,6573,816918,461993,79388,1364872
Missouri,2015,Q4,7536,864438,1439430,62754,2374158
Montana,2015,Q4,114430,0,272651,33171,420252
Nebraska,2015,Q4,4,440150,509399,73286,1022839
Nevada,2015,Q4,88762,1054161,0,0,1142923
New Hampshire,2015,Q4,11193,0,5630,148230,165053
New Jersey,2015,Q4,4626,2270269,3026344,508094,5809333
New Mexico,2015,Q4,4165,501068,376948,37952,920133
New York,2015,Q4,0,3253464,9786924,965293,14005681
North Carolina,2015,Q4,0,1714387,2766040,197972,4678399
North Dakota,2015,Q4,86,336042,74955,-7720,403363
Ohio,2015,Q4,0,3111887,2216793,10706,5339386
Oklahoma,2015,Q4,0,631596,774470,-8954,1397112
Oregon,2015,Q4,6509,0,1902583,123094,2032186
Pennsylvania,2015,Q4,1365,2554389,2593770,460824,5610348
Rhode Island,2015,Q4,0,241682,316292,17439,575413
South Carolina,2015,Q4,10529,745435,1189931,58398,2004293
South Dakota,2015,Q4,0,245111,0,14845,259956
Tennessee,2015,Q4,0,2005756,12689,247737,2266182
Texas,2015,Q4,0,7084103,0,0,7084103
Utah,2015,Q4,0,469557,866239,74552,1410348
Vermont,2015,Q4,87610,94363,170767,27452,380192
Virginia,2015,Q4,11,970190,3012315,99560,4082076
Washington,2015,Q4,134740,3329525,0,0,3464265
West Virginia,2015,Q4,1477,321985,427693,37541,788696
Wisconsin,2015,Q4,44801,1250883,1820512,235315,3351511
Wyoming,2015,Q4,159135,169485,0,0,328620
Alabama,2016,Q1,166304,638060,798974,96737,1700075
Alaska,2016,Q1,22,0,0,-8361,-8339
Arizona,2016,Q1,235752,1580609,590522,105516,2512399
Arkansas,2016,Q1,93152,824525,612765,108945,1639387
California,2016,Q1,627632,9728841,18478208,2264743,31099424
Colorado,2016,Q1,0,695764,1400539,123789,2220092
Connecticut,2016,Q1,0,1014119,1882079,215230,3111428
Delaware,2016,Q1,0,0,392125,66637,458762
Florida,2016,Q1,20,5905018,0,491690,6396728
Georgia,2016,Q1,237891,1375591,2260479,246516,4120477
Hawaii,2016,Q1,0,818316,495899,-15397,1298818
Idaho,2016,Q1,0,371668,282700,20257,674625
Illinois,2016,Q1,9854,2662488,3746068,903017,7321427
Indiana,2016,Q1,2675,1814065,1608902,110534,3536176
Iowa,2016,Q1,749,747874,741404,92737,1582764
Kansas,2016,Q1,392684,795167,466706,54215,1708772
Kentucky,2016,Q1,137448,835953,960328,92616,2026345
Louisiana,2016,Q1,13172,763143,752645,47481,1576441
Maine,2016,Q1,6911,303250,272581,33042,615784
Maryland,2016,Q1,2582,1080486,2244480,320175,3647723
Massachusetts,2016,Q1,61,1473576,3247087,784138,5504862
Michigan,2016,Q1,50470,1757774,1453752,290294,3552290
Minnesota,2016,Q1,4183,1322192,2265813,357895,3950083
Mississippi,2016,Q1,20143,846149,345732,182481,1394505
Missouri,2016,Q1,21348,895424,1375568,20065,2312405
Montana,2016,Q1,36232,0,229811,16316,282359
Nebraska,2016,Q1,29,439755,469369,79740,988893
Nevada,2016,Q1,71364,1083015,0,0,1154379
