State,Rates
Alabama,0.065
Alaska,0.094
Arizona,0.049
Arkansas,0.043
California,0.0884
Colorado,0.044
Connecticut,0.0825
Delaware,0.087
Florida,0.055
Georgia,0.0539
Hawaii,0.064
Idaho,0.05695
Illinois,0.095
Indiana,0.049
Iowa,0.071
Kansas,0.065
Kentucky,0.05
Louisiana,0.055
Maine,0.0893
Maryland,0.0825
Massachusetts,0.08
Michigan,0.06
Minnesota,0.098
Mississippi,0.05
Missouri,0.04
Montana,0.0675
Nebraska,0.052
Nevada,0
New Hampshire,0.075
New Jersey,0.115
New Mexico,0.059
New York,0.0725
North Carolina,0.0225
North Dakota,0.0431
Ohio,0
Oklahoma,0.04
Oregon,0.076
Pennsylvania,0.0799
Rhode Island,0.07
South Carolina,0.05
South Dakota,0
Tennessee,0.065
Texas,0
Utah,0.0455
Vermont,0.085
Virginia,0.06
Washington,0
West Virginia,0.065
Wisconsin,0.079
Wyoming,0
