state,year,population
Alabama,2010,4788095
Alaska,2010,714015
Arizona,2010,6401304
Arkansas,2010,2921546
California,2010,37322523
Colorado,2010,5046928
Connecticut,2010,3580281
Delaware,2010,899773
Florida,2010,18842405
Georgia,2010,9712616
Hawaii,2010,1365117
Idaho,2010,1571339
Illinois,2010,12845460
Indiana,2010,6491385
Iowa,2010,3051473
Kansas,2010,2858835
Kentucky,2010,4349159
Louisiana,2010,4544804
Maine,2010,1327967
Maryland,2010,5791715
Massachusetts,2010,6569724
Michigan,2010,9880111
Minnesota,2010,5312197
Mississippi,2010,2970367
Missouri,2010,5996167
Montana,2010,990874
Nebraska,2010,1830194
Nevada,2010,2701888
New Hampshire,2010,1317105
New Jersey,2010,8809368
New Mexico,2010,2064898
New York,2010,19420354
North Carolina,2010,9571037
North Dakota,2010,675097
Ohio,2010,11541932
Oklahoma,2010,3759558
Oregon,2010,3837609
Pennsylvania,2010,12716596
Rhode Island,2010,1054975
South Carolina,2010,4633669
South Dakota,2010,816068
Tennessee,2010,6356388
Texas,2010,25238386
Utah,2010,2776212
Vermont,2010,626366
Virginia,2010,8025105
Washington,2010,6743680
West Virginia,2010,1854404
Wisconsin,2010,5692038
Wyoming,2010,564402
Alabama,2011,4812576
Alaska,2011,722513
Arizona,2011,6443158
Arkansas,2011,2938773
California,2011,37651212
Colorado,2011,5118837
Connecticut,2011,3594181
Delaware,2011,908220
Florida,2011,19036879
Georgia,2011,9805666
Hawaii,2011,1385141
Idaho,2011,1586880
Illinois,2011,12892409
Indiana,2011,6521409
Iowa,2011,3070048
Kansas,2011,2872529
Kentucky,2011,4374302
Louisiana,2011,4577089
Maine,2011,1330060
Maryland,2011,5854930
Massachusetts,2011,6630673
Michigan,2011,9895652
Minnesota,2011,5352946
Mississippi,2011,2977902
Missouri,2011,6011574
Montana,2011,998243
Nebraska,2011,1843937
Nevada,2011,2710129
New Hampshire,2011,1321939
New Jersey,2011,8878245
New Mexico,2011,2082130
New York,2011,19602134
North Carolina,2011,9641131
North Dakota,2011,687257
Ohio,2011,11558178
Oklahoma,2011,3786536
Oregon,2011,3872651
Pennsylvania,2011,12773059
Rhode Island,2011,1058746
South Carolina,2011,4661744
South Dakota,2011,823113
Tennessee,2011,6404657
Texas,2011,25627909
Utah,2011,2818798
Vermont,2011,629600
Virginia,2011,8107953
Washington,2011,6830840
West Virginia,2011,1857305
Wisconsin,2011,5713359
Wyoming,2011,566844
Alabama,2012,4839947
Alaska,2012,731106
Arizona,2012,6501800
Arkansas,2012,2948793
California,2012,37971412
Colorado,2012,5188139
Connecticut,2012,3605215
Delaware,2012,916654
Florida,2012,19268256
Georgia,2012,9907250
Hawaii,2012,1405255
Idaho,2012,1600611
Illinois,2012,12927420
Indiana,2012,6546485
Iowa,2012,3082748
Kansas,2012,2891164
Kentucky,2012,4394147
Louisiana,2012,4603590
Maine,2012,1330954
Maryland,2012,5914854
Massachusetts,2012,6693932
Michigan,2012,9921001
