State,Year,Quarter,Property Tax,Sales Tax,Individual Income Tax,Corporate Income Tax,Total Tax
Alabama,2024,Q3,20087.0,1165911.0,1355808.0,531064.0,3072870.0
Alaska,2024,Q3,93411.0,0.0,0.0,86745.0,180156.0
Arizona,2024,Q3,731587.0,2891864.0,1390954.0,446442.0,5460847.0
Arkansas,2024,Q3,121326.0,1282878.0,739124.0,183055.0,2326383.0
California,2024,Q3,921904.0,12547382.0,27119126.0,4705260.0,45293672.0
Colorado,2024,Q3,0.0,1219667.0,2419407.0,662808.0,4301882.0
Connecticut,2024,Q3,0.0,953205.0,1445237.0,505227.0,2903669.0
Delaware,2024,Q3,0.0,0.0,584965.0,123096.0,708061.0
Florida,2024,Q3,0.0,9463904.0,0.0,1338950.0,10802854.0
Georgia,2024,Q3,219200.0,2336225.0,3836751.0,765688.0,7157864.0
Hawaii,2024,Q3,0.0,1251780.0,858581.0,77542.0,2187903.0
Idaho,2024,Q3,0.0,846833.0,612110.0,165722.0,1624665.0
Illinois,2024,Q3,18442.0,3996874.0,5822323.0,2818755.0,12656394.0
Indiana,2024,Q3,4022.0,2835715.0,1734300.0,201995.0,4776032.0
Iowa,2024,Q3,0.0,671813.0,760611.0,232052.0,1664476.0
Kansas,2024,Q3,29127.0,1099704.0,1106010.0,291512.0,2526353.0
Kentucky,2024,Q3,78562.0,1492258.0,1117545.0,682872.0,3371237.0
Louisiana,2024,Q3,16592.0,1159589.0,1234017.0,252342.0,2662540.0
Maine,2024,Q3,42985.0,703792.0,746384.0,117327.0,1610488.0
Maryland,2024,Q3,512079.0,1182227.0,2226261.0,597937.0,4518504.0
Massachusetts,2024,Q3,55.0,2470103.0,5196374.0,1371725.0,9038257.0
Michigan,2024,Q3,948137.0,3670829.0,3824888.0,916989.0,9360843.0
Minnesota,2024,Q3,27735.0,2344046.0,3387107.0,1297369.0,7056257.0
Mississippi,2024,Q3,196.0,1294552.0,573474.0,94606.0,1962828.0
Missouri,2024,Q3,770.0,1409962.0,1733600.0,246584.0,3390916.0
Montana,2024,Q3,23067.0,0.0,490798.0,66877.0,580742.0
Nebraska,2024,Q3,47.0,755927.0,529552.0,271571.0,1557097.0
Nevada,2024,Q3,387296.0,792572.0,0.0,0.0,1179868.0
New Hampshire,2024,Q3,10510.0,0.0,25871.0,240819.0,277200.0
New Jersey,2024,Q3,0.0,2157551.0,3314367.0,1820809.0,7292727.0
New Mexico,2024,Q3,2751.0,1103808.0,590000.0,136488.0,1833047.0
New York,2024,Q3,0.0,5184048.0,12670118.0,4737711.0,22591877.0
North Carolina,2024,Q3,0.0,3212030.0,3780215.0,425644.0,7417889.0
North Dakota,2024,Q3,34.0,377034.0,89398.0,74735.0,541201.0
Ohio,2024,Q3,0.0,3891112.0,2693124.0,26.0,6584262.0
Oklahoma,2024,Q3,0.0,950327.0,1156364.0,136966.0,2243657.0
Oregon,2024,Q3,5345.0,326333.0,2776131.0,403330.0,3511139.0
Pennsylvania,2024,Q3,2430.0,3998304.0,3745008.0,1123203.0,8868945.0
Rhode Island,2024,Q3,1424.0,454001.0,486406.0,116463.0,1058294.0
South Carolina,2024,Q3,13804.0,1129224.0,1872255.0,384336.0,3399619.0
South Dakota,2024,Q3,0.0,445800.0,0.0,1121.0,446921.0
Tennessee,2024,Q3,0.0,3703079.0,84.0,613188.0,4316351.0
Texas,2024,Q3,0.0,12305919.0,0.0,0.0,12305919.0
Unnamed: 2,2024,Q3,0.0,0.0,0.0,0.0,0.0
Utah,2024,Q3,0.0,1039905.0,399382.0,788936.0,2228223.0
Vermont,2024,Q3,1923.0,153482.0,314403.0,88465.0,558273.0
Virginia,2024,Q3,4477.0,1892810.0,4312747.0,1140145.0,7350179.0
Washington,2024,Q3,1775202.0,5978233.0,-152.0,0.0,7753283.0
"Washington, D.C.",2024,Q3,1483932.0,495738.0,776372.0,238553.0,2994595.0
West Virginia,2024,Q3,3975.0,440413.0,533408.0,80098.0,1057894.0
Wisconsin,2024,Q3,2501.0,2036126.0,1726509.0,945205.0,4710341.0
Wyoming,2024,Q3,44572.0,282978.0,0.0,0.0,327550.0
